Brand,Model,Segment,Seats,Range(km),Efficiency(Wh/km),Weight(kg),0-100(sec),1-Stop Range(km),Battery(kWh),Fastcharge(kW),Towing(kg),Cargo Volume(L),Price/range(/km),Price($)
Škoda,Elroq 85 (MY25),C,5,450 km,171 Wh/km,2115 kg,6.6 sec,493 km,77.0 kWh,120 kW,1000 kg,470 L,€94 /km,"€44,180"
Mercedes-Benz,GLC 400 4MATIC,D,5,500 km,188 Wh/km,2535 kg,4.3 sec,606 km,94.0 kWh,190 kW,2400 kg,698 L,€146 /km,"€71,281"
Kia,Niro EV,C,5,385 km,168 Wh/km,1757 kg,7.8 sec,365 km,64.8 kWh,70 kW,750 kg,495 L,€110 /km,"€45,690"
BMW,iX3 (MY22-24),D,5,385 km,192 Wh/km,2255 kg,6.8 sec,411 km,74.0 kWh,104 kW,750 kg,510 L,€184 /km,"€67,300"
Hyundai,Kona Electric 65 kWh,B,5,390 km,168 Wh/km,1773 kg,7.8 sec,391 km,65.4 kWh,86 kW,750 kg,493 L,€112 /km,"€47,190"
Tesla,Model Y Performance (Juniper),D,5,460 km,172 Wh/km,2108 kg,3.8 sec,535 km,79.0 kWh,120 kW,1600 kg,971 L,€143 /km,"€62,970"
Mazda,6e 68.8 kWh,D,5,385 km,171 Wh/km,2037 kg,7.6 sec,453 km,66.0 kWh,120 kW,1500 kg,526 L,€116 /km,"€44,900"
BMW,iX1 xDrive30,C,5,380 km,170 Wh/km,2085 kg,5.6 sec,407 km,64.7 kWh,93 kW,1200 kg,490 L,€148 /km,"€55,000"
BYD,SEALION 7 82.5 kWh RWD Comfort,D,5,420 km,196 Wh/km,2300 kg,6.7 sec,440 km,82.5 kWh,115 kW,750 kg,578 L,€121 /km,"€47,990"
Hyundai,IONIQ 5 84 kWh RWD (MY24),C,5,450 km,178 Wh/km,2060 kg,7.5 sec,560 km,80.0 kWh,205 kW,1600 kg,577 L,€110 /km,"€51,650"
Tesla,Model Y Premium AWD (Juniper),D,5,475 km,166 Wh/km,2072 kg,4.8 sec,556 km,79.0 kWh,120 kW,1600 kg,971 L,€118 /km,"€53,970"
Volkswagen,ID.4 Pro (MY24-25),C,5,445 km,173 Wh/km,2144 kg,6.7 sec,490 km,77.0 kWh,120 kW,1000 kg,543 L,€108 /km,"€46,335"
BYD,SEAL 82.5 kWh AWD Excellence,D,5,445 km,185 Wh/km,2260 kg,3.8 sec,472 km,82.5 kWh,100 kW,1500 kg,453 L,€122 /km,"€52,990"
Tesla,Model 3 Long Range AWD,D,5,455 km,162 Wh/km,1931 kg,4.6 sec,560 km,73.5 kWh,163 kW,1000 kg,542 L,€124 /km,"€55,480"
Audi,e-tron 55 quattro,E,5,365 km,237 Wh/km,2565 kg,5.7 sec,384 km,86.5 kWh,146 kW,1800 kg,660 L,€212 /km,"€81,500"
Tesla,Model 3 Standard Range Plus (PANA 2170L),D,5,350 km,146 Wh/km,1700 kg,5.6 sec,421 km,51.0 kWh,105 kW,1000 kg,649 L,€136 /km,"€45,560"
Volkswagen,e-Golf,C,5,190 km,168 Wh/km,1615 kg,9.6 sec,178 km,32.0 kWh,39 kW,0 kg,341 L,€172 /km,"€31,900"
Renault,Twingo E-Tech 27.5 kWh,A,5,190 km,145 Wh/km,1200 kg,12.1 sec,193 km,27.5 kWh,40 kW,0 kg,360 L,€105 /km,"* €19,000"
BYD,ATTO 3 (MY25),C,5,340 km,178 Wh/km,1825 kg,7.3 sec,348 km,60.5 kWh,75 kW,750 kg,440 L,€121 /km,"€38,990"
Leapmotor,T03,A,4,225 km,160 Wh/km,1250 kg,12.7 sec,212 km,36.0 kWh,30 kW,unknown,210 L,€82 /km,"€18,900"
Renault,Megane E-Tech EV60 220hp,C,5,380 km,158 Wh/km,1711 kg,7.4 sec,410 km,60.0 kWh,87 kW,900 kg,440 L,€117 /km,"€46,600"
MG,MGS5 EV 64 kWh,C,5,365 km,170 Wh/km,1755 kg,6.3 sec,387 km,62.1 kWh,90 kW,750 kg,453 L,€108 /km,"€42,990"
Dongfeng,Box 42.3 kWh,B,5,255 km,157 Wh/km,1430 kg,12.5 sec,254 km,40.0 kWh,51 kW,unknown,326 L,€96 /km,"€24,499"
Tesla,Model 3 Standard Range Plus,D,5,320 km,153 Wh/km,1684 kg,5.6 sec,389 km,49.0 kWh,105 kW,1000 kg,542 L,€149 /km,"€46,380"
BYD,DOLPHIN 60.4 kWh (MY24),C,5,350 km,173 Wh/km,1733 kg,7.0 sec,338 km,60.5 kWh,65 kW,0 kg,345 L,€100 /km,"€32,990"
Mercedes-Benz,EQS 450+,F,5,685 km,172 Wh/km,2545 kg,6.2 sec,731 km,118.0 kWh,160 kW,750 kg,620 L,€173 /km,"€109,551"
Mercedes-Benz,EQB 250+,C,7,415 km,170 Wh/km,2105 kg,8.9 sec,414 km,70.5 kWh,90 kW,1400 kg,495 L,€133 /km,"€53,514"
Mercedes-Benz,EQE 300 (MY23),E,5,525 km,170 Wh/km,2405 kg,7.3 sec,566 km,89.0 kWh,120 kW,750 kg,430 L,€137 /km,"€67,187"
Tesla,Model 3 Long Range AWD (Highland),D,5,525 km,143 Wh/km,1899 kg,4.4 sec,629 km,75.0 kWh,124 kW,1000 kg,682 L,€101 /km,"€49,990"
BMW,i4 eDrive40,D,5,515 km,157 Wh/km,2125 kg,5.7 sec,584 km,80.7 kWh,131 kW,1600 kg,470 L,€122 /km,"€59,200"
Tesla,Model 3 Performance (Highland),D,5,490 km,153 Wh/km,1929 kg,3.4 sec,585 km,75.0 kWh,124 kW,0 kg,682 L,€126 /km,"€58,470"
Tesla,Model 3 Long Range AWD,D,5,485 km,155 Wh/km,1919 kg,4.4 sec,577 km,75.0 kWh,124 kW,1000 kg,649 L,€112 /km,"€53,668"
Hyundai,INSTER Long Range,A,4,300 km,153 Wh/km,1410 kg,10.6 sec,311 km,46.0 kWh,70 kW,unknown,351 L,€89 /km,"€25,400"
Tesla,Model 3 RWD (Highland CATL LFP60),D,5,420 km,136 Wh/km,1836 kg,6.1 sec,495 km,57.0 kWh,108 kW,1000 kg,682 L,€101 /km,"€40,970"
Fiat,Grande Panda,B,5,260 km,168 Wh/km,1511 kg,11.0 sec,270 km,43.8 kWh,60 kW,550 kg,361 L,€95 /km,"€24,990"
Renault,Zoe ZE50 R110,B,5,315 km,165 Wh/km,1577 kg,11.4 sec,274 km,52.0 kWh,41 kW,0 kg,338 L,€111 /km,"€36,840"
Changan,Deepal S05 RWD,C,5,385 km,177 Wh/km,2015 kg,7.5 sec,448 km,68.0 kWh,130 kW,1600 kg,651 L,€101 /km,"€38,990"
XPENG,G6 RWD Long Range (MY25),D,5,435 km,184 Wh/km,2190 kg,6.7 sec,559 km,80.0 kWh,290 kW,1500 kg,571 L,€111 /km,"€47,600"
BMW,i3 120 Ah,B,4,235 km,161 Wh/km,1345 kg,7.3 sec,222 km,37.9 kWh,47 kW,0 kg,260 L,€167 /km,"€39,000"
Tesla,Model Y Long Range RWD,D,5,455 km,165 Wh/km,1959 kg,5.9 sec,535 km,75.0 kWh,124 kW,1600 kg,971 L,€113 /km,"€49,970"
Tesla,Model 3 Long Range AWD,D,5,490 km,155 Wh/km,1919 kg,4.4 sec,584 km,76.0 kWh,135 kW,1000 kg,649 L,€117 /km,"€55,260"
Mercedes-Benz,EQC 400 4MATIC,D,5,370 km,216 Wh/km,2495 kg,5.1 sec,366 km,80.0 kWh,100 kW,1800 kg,500 L,€202 /km,"€66,069"
Ford,Puma Gen-E,B,5,275 km,159 Wh/km,1563 kg,8.0 sec,312 km,43.6 kWh,85 kW,750 kg,566 L,€124 /km,"€36,900"
Tesla,Model S Plaid,F,5,560 km,170 Wh/km,2265 kg,2.4 sec,636 km,95.0 kWh,140 kW,1600 kg,798 L,€212 /km,"€120,970"
Škoda,Elroq 60 (MY25),C,5,350 km,169 Wh/km,1975 kg,8.5 sec,405 km,59.0 kWh,110 kW,1000 kg,470 L,€108 /km,"€38,680"
Tesla,Model Y RWD (CATL LFP),D,5,345 km,165 Wh/km,1984 kg,6.9 sec,409 km,57.0 kWh,108 kW,1600 kg,971 L,€139 /km,"€45,970"
MG,ZS EV Long Range,B,5,370 km,185 Wh/km,1695 kg,8.4 sec,352 km,68.3 kWh,82 kW,500 kg,448 L,€105 /km,"€37,990"
Zeekr,7X Performance AWD,D,5,475 km,198 Wh/km,2535 kg,3.8 sec,614 km,94.0 kWh,260 kW,2000 kg,581 L,€135 /km,"€63,990"
Tesla,Model 3 Long Range AWD,D,5,465 km,155 Wh/km,1919 kg,4.4 sec,534 km,72.0 kWh,108 kW,1000 kg,649 L,€121 /km,"€53,560"
Toyota,C-HR+ 77 kWh (MY26),C,5,430 km,167 Wh/km,1940 kg,7.3 sec,471 km,72.0 kWh,110 kW,750 kg,416 L,€102 /km,"€43,995"
Kia,PV5 Passenger 71.2 kWh (MY26),N,5,315 km,213 Wh/km,2145 kg,10.6 sec,328 km,67.0 kWh,75 kW,1500 kg,1330 L,€137 /km,"€42,290"
Kia,EV3 Standard Range,B,5,325 km,169 Wh/km,1800 kg,7.5 sec,341 km,55.0 kWh,80 kW,500 kg,485 L,€114 /km,"€35,990"
Toyota,bZ4X FWD (MY22-24),C,5,350 km,183 Wh/km,1970 kg,7.5 sec,384 km,64.0 kWh,100 kW,750 kg,452 L,€125 /km,"€42,900"
Kia,EV4 Hatchback 81.4 kWh,C,5,475 km,164 Wh/km,1890 kg,7.7 sec,498 km,78.0 kWh,105 kW,1000 kg,435 L,€90 /km,"€43,240"
Ford,Explorer Extended Range RWD,C,5,435 km,177 Wh/km,2090 kg,6.4 sec,452 km,77.0 kWh,120 kW,1000 kg,536 L,€112 /km,"€48,510"
BYD,DOLPHIN SURF 43.2 kWh Comfort,B,4,265 km,163 Wh/km,1465 kg,9.1 sec,275 km,43.2 kWh,60 kW,0 kg,308 L,€107 /km,"€30,990"
Tesla,Model 3 Performance,D,5,470 km,162 Wh/km,1919 kg,3.6 sec,555 km,76.0 kWh,135 kW,0 kg,649 L,€137 /km,"€59,560"
BMW,iX1 eDrive20,C,5,390 km,166 Wh/km,1940 kg,8.3 sec,418 km,64.7 kWh,93 kW,750 kg,490 L,€129 /km,"€47,900"
BYD,TANG Flagship,E,7,460 km,237 Wh/km,2705 kg,4.9 sec,444 km,108.8 kWh,100 kW,1500 kg,235 L,€149 /km,"€69,615"
Renault,Scenic E-Tech EV87 220hp (TU2025),C,5,480 km,181 Wh/km,1917 kg,7.9 sec,481 km,87.0 kWh,95 kW,1100 kg,545 L,€93 /km,"€47,900"
Tesla,Model 3 Long Range AWD (Highland),D,5,555 km,142 Wh/km,1899 kg,4.4 sec,654 km,79.0 kWh,120 kW,1000 kg,682 L,€96 /km,"€50,970"
Mercedes-Benz,CLA 350 4MATIC,D,5,575 km,148 Wh/km,2135 kg,4.9 sec,746 km,85.0 kWh,235 kW,1800 kg,506 L,€109 /km,"€60,381"
Hyundai,Kona Electric 64 kWh,B,5,390 km,164 Wh/km,1760 kg,7.9 sec,363 km,64.0 kWh,64 kW,300 kg,332 L,€110 /km,"€42,900"
Kia,EV6 Long Range AWD,C,5,440 km,182 Wh/km,2160 kg,5.2 sec,549 km,80.0 kWh,205 kW,1800 kg,510 L,€128 /km,"€53,990"
Zeekr,7X Long Range RWD,D,5,490 km,192 Wh/km,2415 kg,6.0 sec,630 km,94.0 kWh,260 kW,2000 kg,605 L,€116 /km,"€56,990"
Volkswagen,ID.4 Pro Performance,C,5,410 km,188 Wh/km,2109 kg,8.5 sec,436 km,77.0 kWh,125 kW,1000 kg,543 L,€124 /km,"€46,335"
Mini,Countryman E,C,5,380 km,170 Wh/km,1940 kg,8.6 sec,405 km,64.6 kWh,93 kW,750 kg,460 L,€117 /km,"€43,500"
Tesla,Model 3 RWD (CATL LFP60),D,5,400 km,143 Wh/km,1835 kg,6.1 sec,468 km,57.0 kWh,100 kW,1000 kg,649 L,€114 /km,"€44,668"
TOGG,T10F Long Range RWD,D,5,490 km,173 Wh/km,2154 kg,7.5 sec,531 km,85.0 kWh,115 kW,0 kg,505 L,€82 /km,"€40,118"
Tesla,Model S Dual Motor,F,5,575 km,165 Wh/km,2170 kg,3.2 sec,653 km,95.0 kWh,140 kW,1600 kg,798 L,€185 /km,"€110,970"
Hyundai,IONIQ 6 Long Range 2WD,D,5,495 km,149 Wh/km,1985 kg,7.4 sec,637 km,74.0 kWh,200 kW,1500 kg,446 L,€107 /km,"€54,000"
Mercedes-Benz,EQA 250,C,5,395 km,168 Wh/km,2045 kg,8.6 sec,405 km,66.5 kWh,100 kW,1500 kg,340 L,€129 /km,"€50,777"
Volkswagen,ID.7 Pro (MY24-25),E,5,475 km,162 Wh/km,2172 kg,6.5 sec,541 km,77.0 kWh,125 kW,1000 kg,532 L,€114 /km,"€53,995"
Hyundai,IONIQ Electric,C,5,250 km,153 Wh/km,1602 kg,9.7 sec,230 km,38.3 kWh,36 kW,0 kg,357 L,€146 /km,"€35,350"
Kia,e-Niro 64 kWh,C,5,375 km,171 Wh/km,1812 kg,7.8 sec,349 km,64.0 kWh,64 kW,300 kg,451 L,€108 /km,"€42,790"
BMW,iX xDrive50,E,5,505 km,208 Wh/km,2585 kg,4.6 sec,538 km,105.2 kWh,149 kW,2500 kg,500 L,€213 /km,"€100,100"
Mercedes-Benz,G 580,F,5,395 km,294 Wh/km,3085 kg,4.7 sec,394 km,116.0 kWh,150 kW,0 kg,555 L,€465 /km,"€142,622"
Škoda,Enyaq 85 (MY25),C,5,455 km,169 Wh/km,2141 kg,6.7 sec,477 km,77.0 kWh,120 kW,1000 kg,585 L,€106 /km,"€48,900"
Audi,Q4 e-tron 40,C,5,405 km,189 Wh/km,2125 kg,8.5 sec,430 km,76.6 kWh,125 kW,1000 kg,520 L,€140 /km,"€51,900"
Škoda,Enyaq iV 80 (MY21-23),C,5,440 km,175 Wh/km,2075 kg,8.6 sec,468 km,77.0 kWh,125 kW,1000 kg,585 L,€112 /km,"€48,900"
Lucid,Air Grand Touring (MY25-26),F,5,720 km,163 Wh/km,2435 kg,3.2 sec,836 km,117.0 kWh,190 kW,0 kg,910 L,€184 /km,"€130,900"
Omoda,E5,C,5,330 km,178 Wh/km,1785 kg,7.6 sec,350 km,58.9 kWh,80 kW,0 kg,380 L,€115 /km,"£33,055"
Kia,EV5 81.4 kWh (MY26),C,5,400 km,195 Wh/km,2069 kg,8.4 sec,421 km,78.0 kWh,115 kW,1200 kg,566 L,€113 /km,"€45,990"
Citroën,ë-C3 Comfort Range 44 kWh,B,5,255 km,172 Wh/km,1491 kg,11.5 sec,270 km,43.8 kWh,60 kW,550 kg,310 L,€94 /km,"€23,300"
Audi,Q4 e-tron 45,C,5,420 km,183 Wh/km,2145 kg,6.7 sec,460 km,77.0 kWh,120 kW,1000 kg,520 L,€129 /km,"€52,950"
MG,MG5 Electric Long Range,C,5,335 km,171 Wh/km,1637 kg,7.7 sec,325 km,57.4 kWh,60 kW,500 kg,479 L,€113 /km,"€38,490"
Mini,Cooper SE,B,4,180 km,161 Wh/km,1440 kg,7.3 sec,183 km,28.9 kWh,44 kW,0 kg,211 L,€207 /km,"€35,700"
Rolls-Royce,Spectre,F,4,465 km,219 Wh/km,2965 kg,4.5 sec,494 km,102.0 kWh,126 kW,unknown,380 L,€828 /km,"€379,015"
Kia,EV6 Long Range 2WD,C,5,410 km,180 Wh/km,1985 kg,7.3 sec,514 km,74.0 kWh,200 kW,1600 kg,532 L,€126 /km,"€51,990"
BYD,SEAL U 71.8 kWh Comfort,D,5,360 km,199 Wh/km,2095 kg,9.3 sec,352 km,71.8 kWh,72 kW,1300 kg,552 L,€118 /km,"€41,990"
Audi,A6 Avant e-tron performance,E,5,575 km,165 Wh/km,2260 kg,5.4 sec,699 km,94.9 kWh,200 kW,2100 kg,529 L,€138 /km,"€77,250"
Renault,4 E-Tech 52kWh 150hp,B,5,315 km,165 Wh/km,1537 kg,8.2 sec,326 km,52.0 kWh,70 kW,750 kg,420 L,€100 /km,"€32,400"
KGM,Torres EVX (MY24-25),C,5,370 km,195 Wh/km,1979 kg,8.1 sec,368 km,72.0 kWh,85 kW,1500 kg,839 L,€113 /km,"€41,990"
Geely,EX5,C,5,330 km,182 Wh/km,1815 kg,6.9 sec,365 km,60.2 kWh,95 kW,0 kg,461 L,€111 /km,"£31,990"
Dacia,Spring Electric 45,A,4,165 km,152 Wh/km,1009 kg,19.1 sec,151 km,25.0 kWh,29 kW,0 kg,343 L,€107 /km,"€16,900"
Nissan,Ariya 87kWh,C,5,450 km,193 Wh/km,2121 kg,7.6 sec,445 km,87.0 kWh,110 kW,750 kg,468 L,€103 /km,"€53,490"
firefly,firefly,B,5,240 km,172 Wh/km,1542 kg,8.1 sec,256 km,41.2 kWh,65 kW,0 kg,496 L,€125 /km,"€29,900"
Citroën,C5 Aircross Long Range,C,5,485 km,200 Wh/km,2246 kg,8.8 sec,492 km,96.9 kWh,130 kW,1200 kg,565 L,€85 /km,"* €45,000"
BYD,SEAL U 87 kWh Design,D,5,425 km,205 Wh/km,2222 kg,9.6 sec,418 km,87.0 kWh,85 kW,1300 kg,552 L,€107 /km,"€44,990"
Citroën,ë-C4,C,5,290 km,160 Wh/km,1636 kg,9.7 sec,318 km,46.3 kWh,78 kW,0 kg,380 L,€125 /km,"€34,875"
Peugeot,e-2008 54 kWh,B,5,300 km,169 Wh/km,1623 kg,9.1 sec,324 km,50.8 kWh,85 kW,0 kg,434 L,€129 /km,"€40,550"
Tesla,Model 3 Performance (Highland),D,5,515 km,153 Wh/km,1929 kg,3.4 sec,603 km,79.0 kWh,120 kW,0 kg,682 L,€121 /km,"€59,470"
Škoda,Enyaq 85 (MY24),C,5,450 km,171 Wh/km,2137 kg,6.7 sec,467 km,77.0 kWh,120 kW,1000 kg,585 L,€112 /km,"€48,900"
BYD,SEAL 82.5 kWh RWD Design,D,5,480 km,172 Wh/km,2130 kg,5.9 sec,507 km,82.5 kWh,100 kW,750 kg,453 L,€104 /km,"€48,990"
Tesla,Model X Plaid,F,6,465 km,204 Wh/km,2539 kg,2.9 sec,516 km,95.0 kWh,140 kW,2250 kg,608 L,€280 /km,"€125,970"
Hyundai,IONIQ 5 63 kWh RWD (MY24),C,5,345 km,174 Wh/km,1955 kg,8.5 sec,423 km,60.0 kWh,150 kW,750 kg,577 L,€128 /km,"€43,900"
BMW,i4 eDrive35,D,5,430 km,156 Wh/km,2075 kg,6.0 sec,486 km,67.1 kWh,95 kW,1600 kg,470 L,€137 /km,"€57,500"
Lynk&Co,02,C,5,370 km,176 Wh/km,1820 kg,5.5 sec,399 km,65.0 kWh,90 kW,1600 kg,425 L,€95 /km,"€35,995"
MG,MG4 Electric 51 kWh,C,5,300 km,169 Wh/km,1710 kg,7.7 sec,306 km,50.8 kWh,68 kW,500 kg,363 L,€109 /km,"€34,990"
Tesla,Model 3 Performance,D,5,460 km,163 Wh/km,1919 kg,3.6 sec,543 km,75.0 kWh,124 kW,0 kg,649 L,€130 /km,"€57,668"
Tesla,Model Y Long Range AWD,D,5,425 km,169 Wh/km,2056 kg,5.0 sec,484 km,72.0 kWh,108 kW,1600 kg,971 L,€147 /km,"€59,965"
BMW,i4 M50,D,5,450 km,179 Wh/km,2290 kg,3.9 sec,510 km,80.7 kWh,131 kW,1600 kg,470 L,€170 /km,"€70,800"
Opel,Corsa-e (MY22-23),B,5,295 km,157 Wh/km,1530 kg,8.1 sec,321 km,46.3 kWh,78 kW,0 kg,267 L,€127 /km,"€36,395"
BMW,i4 eDrive40,D,5,525 km,155 Wh/km,2120 kg,5.6 sec,595 km,81.3 kWh,130 kW,1600 kg,470 L,€123 /km,"€60,600"
Citroën,ë-C3 Aircross Extended Range 54 kWh,B,5,290 km,184 Wh/km,1608 kg,13.0 sec,298 km,53.5 kWh,70 kW,550 kg,460 L,€101 /km,"€30,690"
Hyundai,IONIQ 6 Standard Range 2WD,D,5,335 km,149 Wh/km,1850 kg,8.8 sec,418 km,50.0 kWh,120 kW,750 kg,446 L,€134 /km,"€43,900"
Polestar,2 Long Range Dual Motor,D,5,390 km,192 Wh/km,2188 kg,4.7 sec,419 km,75.0 kWh,108 kW,1500 kg,440 L,€144 /km,"€54,995"
XPENG,G6 RWD Long Range (MY24),D,5,480 km,182 Wh/km,2100 kg,6.7 sec,574 km,87.5 kWh,180 kW,1500 kg,571 L,€104 /km,"€47,600"
Tesla,Model Y Premium RWD (Juniper),D,5,470 km,160 Wh/km,1976 kg,5.6 sec,552 km,75.0 kWh,124 kW,1600 kg,971 L,€108 /km,"€50,970"
Jeep,Avenger Electric,B,5,310 km,164 Wh/km,1595 kg,9.0 sec,327 km,50.8 kWh,85 kW,0 kg,355 L,€122 /km,"€38,500"
BMW,i5 eDrive40 Sedan,E,5,470 km,173 Wh/km,2205 kg,6.0 sec,535 km,81.2 kWh,136 kW,1500 kg,490 L,€166 /km,"€70,200"
Hyundai,IONIQ 9 Long Range AWD,F,7,495 km,214 Wh/km,2653 kg,6.7 sec,567 km,106.0 kWh,195 kW,2500 kg,390 L,€160 /km,"€81,500"
Hyundai,IONIQ Electric,C,5,190 km,147 Wh/km,1495 kg,9.9 sec,225 km,28.0 kWh,65 kW,0 kg,350 L,€173 /km,"€33,300"
Tesla,Model S 75D,F,5,380 km,191 Wh/km,2183 kg,4.4 sec,386 km,72.5 kWh,80 kW,0 kg,804 L,€216 /km,"€71,019"
MG,IM5 Long Range,D,5,530 km,182 Wh/km,2210 kg,4.9 sec,677 km,96.5 kWh,250 kW,unknown,475 L,€98 /km,"£44,995"
Toyota,bZ4X AWD (MY22-24),C,5,345 km,186 Wh/km,2070 kg,6.9 sec,377 km,64.0 kWh,100 kW,750 kg,452 L,€154 /km,"€50,490"
Hyundai,IONIQ 5 Long Range 2WD (MY22),C,5,390 km,190 Wh/km,2010 kg,7.3 sec,492 km,74.0 kWh,200 kW,1600 kg,584 L,€132 /km,"€47,900"
Nissan,LEAF Extended Range 75 kWh (MY26),C,5,455 km,165 Wh/km,1981 kg,7.6 sec,484 km,75.0 kWh,100 kW,975 kg,437 L,€89 /km,"* €42,000"
Jaecoo,5 EV,C,5,325 km,181 Wh/km,1765 kg,7.7 sec,341 km,58.9 kWh,80 kW,0 kg,480 L,€97 /km,"£27,505"
Hyundai,Kona Electric 64 kWh,B,5,390 km,164 Wh/km,1760 kg,7.9 sec,363 km,64.0 kWh,64 kW,0 kg,361 L,€110 /km,"€41,850"
Audi,e-tron 50 quattro,E,5,280 km,231 Wh/km,2445 kg,6.8 sec,299 km,64.7 kWh,114 kW,1800 kg,660 L,€240 /km,"€69,100"
KGM,Torres EVX 80.6 kWh (MY26),C,5,400 km,198 Wh/km,2000 kg,8.2 sec,403 km,79.0 kWh,95 kW,1500 kg,839 L,€103 /km,"€41,250"
Mazda,MX-30,C,5,170 km,176 Wh/km,1720 kg,9.7 sec,167 km,30.0 kWh,32 kW,0 kg,366 L,€212 /km,"€35,990"
Volkswagen,ID.3 Pure (MY24-26),C,5,325 km,160 Wh/km,1787 kg,8.2 sec,376 km,52.0 kWh,90 kW,0 kg,385 L,€100 /km,"€33,330"
Hyundai,IONIQ 5 84 kWh AWD (MY24),C,5,445 km,180 Wh/km,2165 kg,5.3 sec,553 km,80.0 kWh,205 kW,1600 kg,544 L,€134 /km,"€59,400"
Porsche,Macan Electric (MY25),D,5,495 km,192 Wh/km,2295 kg,5.7 sec,587 km,95.0 kWh,200 kW,2000 kg,624 L,€165 /km,"€80,700"
